raising barrel:
I (252) cpu_start: ESP-IDF:          v3.3-beta1-1-ge176e26-dirty
I (259) cpu_start: Starting app cpu, entry point is 0x40080ea8
0x40080ea8: call_start_cpu1 at /home/robert/esp/esp-idf/components/esp32/cpu_start.c:261

I (0) cpu_start: App cpu up.
I (270) heap_init: Initializing. RAM available for dynamic allocation:
I (276) heap_init: At 3FFAE6E0 len 00001920 (6 KiB): DRAM
I (282) heap_init: At 3FFB2EE0 len 0002D120 (180 KiB): DRAM
I (289) heap_init: At 3FFE0440 len 00003AE0 (14 KiB): D/IRAM
I (295) heap_init: At 3FFE4350 len 0001BCB0 (111 KiB): D/IRAM
I (301) heap_init: At 40089544 len 00016ABC (90 KiB): IRAM
I (308) cpu_start: Pro cpu start user code
I (326) cpu_start: Starting scheduler on PRO CPU.
I (0) cpu_start: Starting scheduler on APP CPU.
eFuse Two Point: NOT supported
eFuse Vref: Supported
Characterized using eFuse Vref
raw1,voltage1(mV),pressure1(psi),raw2,voltage2(mV),pressure2(psi)
1700,626,1.665000,1702,627,1.500000
1692,623,1.620000,1673,617,1.350000
1673,617,1.530000,1702,627,1.500000
1691,623,1.620000,1672,617,1.350000
1692,623,1.620000,1690,623,1.440000
1663,614,1.485000,1711,630,1.545000
1683,620,1.575000,1693,624,1.455000
1677,619,1.560000,1625,602,1.125000
1683,620,1.575000,1648,609,1.230000
1692,623,1.620000,1657,612,1.275000
1674,618,1.545000,1676,618,1.365000
1682,620,1.575000,1676,618,1.365000
1692,623,1.620000,1680,620,1.395000
1695,624,1.635000,1652,610,1.245000
1678,619,1.560000,1686,621,1.410000
1686,621,1.590000,1668,616,1.335000
1705,628,1.695000,1642,607,1.200000
1681,620,1.575000,1682,620,1.395000
1678,619,1.560000,1637,606,1.185000
1680,620,1.575000,1646,609,1.230000
1675,618,1.545000,1656,612,1.275000
1716,631,1.740000,1653,611,1.260000
1677,619,1.560000,1713,630,1.545000
1671,617,1.530000,1678,619,1.380000
1689,622,1.605000,1681,620,1.395000
1694,624,1.635000,1656,612,1.275000
1686,621,1.590000,1665,615,1.320000
1682,620,1.575000,1677,619,1.380000
1696,625,1.650000,1642,607,1.200000
1686,621,1.590000,1659,613,1.290000
1456,547,0.480000,2102,756,3.435000
1087,428,-1.305000,2689,945,6.270000
1085,428,-1.305000,2764,969,6.630000
1101,433,-1.230000,2722,955,6.420000
1083,427,-1.320000,2792,978,6.765000
1097,432,-1.245000,2828,990,6.945000
1091,430,-1.275000,2845,995,7.020000
1083,427,-1.320000,2991,1042,7.725000
1073,424,-1.365000,3025,1053,7.890000
1092,430,-1.275000,3038,1057,7.950000
1092,430,-1.275000,2950,1029,7.530000
1065,421,-1.410000,2938,1025,7.470000
1104,434,-1.215000,2984,1040,7.695000
1086,428,-1.305000,3012,1049,7.830000
1090,429,-1.290000,2967,1034,7.605000
1082,427,-1.320000,2975,1037,7.650000
1084,427,-1.320000,3044,1059,7.980000
1085,428,-1.305000,2971,1036,7.635000
1075,425,-1.350000,3069,1067,8.100000
1082,427,-1.320000,3082,1071,8.160000
1077,425,-1.350000,3091,1074,8.205000
1093,430,-1.275000,3087,1073,8.190000
1099,432,-1.245000,3136,1089,8.430000
1082,427,-1.320000,3096,1076,8.235000
1094,431,-1.260000,3002,1046,7.785000
1085,428,-1.305000,2967,1034,7.605000
1081,426,-1.335000,3159,1096,8.535000
1099,432,-1.245000,3081,1071,8.160000
1087,428,-1.305000,2981,1039,7.680000
1073,424,-1.365000,3074,1069,8.130000
1101,433,-1.230000,3114,1082,8.325000
1094,431,-1.260000,3087,1073,8.190000
